Sale Id,Sales Date,Customer Id,Employee Id,Store Id,Product Id,No. Of Units,Sale Amount,Sales Reason ID,Product Cost
1,288,370,42,8,167,106,3122,1,3033
2,1328,317,88,35,394,298,4901,7,4518
3,552,183,61,62,85,375,1469,10,1418
4,140,287,62,11,327,301,1459,4,1302
5,231,399,35,18,493,451,1405,6,1377
6,704,209,8,28,266,171,1623,9,1550
7,972,114,86,45,16,474,1279,10,956
8,232,155,68,64,94,500,3743,6,3383
9,1175,229,16,20,167,335,2940,3,2918
10,657,323,95,57,392,206,1611,3,1277
11,469,110,57,20,331,303,3584,8,3280
12,589,192,52,47,7,164,3263,3,3189
13,12,366,10,76,246,492,1562,2,1554
14,417,122,14,69,227,366,3309,4,3153
15,312,388,91,11,484,306,1721,7,1581
16,714,248,85,20,225,333,3100,1,2776
17,199,142,88,27,122,281,4850,1,4495
18,103,150,48,62,464,304,4977,2,4621
19,813,77,9,15,167,293,3112,7,2954
20,839,72,54,15,224,194,4517,3,4414
21,959,333,5,64,214,490,2013,7,1615
22,24,49,77,60,79,115,3737,7,3478
23,544,288,67,50,314,235,4671,7,4486
24,631,209,47,60,347,281,3367,7,3182
25,631,165,86,9,172,285,2347,4,2130
26,968,67,71,66,401,418,3025,5,2976
27,300,119,86,46,118,179,3603,5,3208
28,1137,92,87,9,388,206,1056,9,774
29,1170,125,15,89,141,129,2168,4,2163
30,1351,28,95,16,460,133,2239,5,1981
31,758,8,94,69,271,500,2611,7,2602
32,902,184,80,83,152,235,4266,4,3904
33,712,115,46,52,286,436,1955,2,1695
34,86,23,35,1,109,128,1567,8,1549
35,337,286,25,26,219,445,4282,8,4007
36,1165,218,68,23,90,322,2945,5,2849
37,764,36,48,4,39,279,1157,7,925
38,610,313,30,80,226,372,3764,2,3474
39,646,114,88,38,33,295,4138,2,3994
40,392,66,55,70,491,170,3666,2,3420
41,155,32,61,18,169,467,4980,10,4946
42,1188,233,91,10,423,481,3965,7,3904
43,85,201,26,80,275,352,2481,4,2224
