DateId,PK_Date,Date_Name,Year,Year_Name,Half_Year,Half_Year_Name,Quarter,Quarter_Name,Month,Month_Name,Day_Of_Year,Day_Of_Year_Name,Day_Of_Half_Year,Day_Of_Half_Year_Name,Day_Of_Quarter,Day_Of_Quarter_Name,Day_Of_Month,Day_Of_Month_Name,Month_Of_Year,Month_Of_Year_Name,Month_Of_Half_Year,Month_Of_Half_Year_Name,Month_Of_Quarter,Month_Of_Quarter_Name,Quarter_Of_Year,Quarter_Of_Year_Name,Quarter_Of_Half_Year,Quarter_Of_Half_Year_Name,Half_Year_Of_Year,Half_Year_Of_Year_Name
1,2006-01-01,Sunday -  January 01 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,1,Day 1,1,Day 1,1,Day 1,1,Day 1,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
2,2006-01-02,Monday -  January 02 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,2,Day 2,2,Day 2,2,Day 2,2,Day 2,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
3,2006-01-03,Tuesday -  January 03 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,3,Day 3,3,Day 3,3,Day 3,3,Day 3,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
4,2006-01-04,Wednesday -  January 04 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,4,Day 4,4,Day 4,4,Day 4,4,Day 4,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
5,2006-01-05,Thursday -  January 05 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,5,Day 5,5,Day 5,5,Day 5,5,Day 5,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
6,2006-01-06,Friday -  January 06 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,6,Day 6,6,Day 6,6,Day 6,6,Day 6,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
7,2006-01-07,Saturday -  January 07 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,7,Day 7,7,Day 7,7,Day 7,7,Day 7,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
8,2006-01-08,Sunday -  January 08 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,8,Day 8,8,Day 8,8,Day 8,8,Day 8,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
9,2006-01-09,Monday -  January 09 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,9,Day 9,9,Day 9,9,Day 9,9,Day 9,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
10,2006-01-10,Tuesday -  January 10 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,10,Day 10,10,Day 10,10,Day 10,10,Day 10,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
11,2006-01-11,Wednesday -  January 11 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,11,Day 11,11,Day 11,11,Day 11,11,Day 11,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
12,2006-01-12,Thursday -  January 12 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,12,Day 12,12,Day 12,12,Day 12,12,Day 12,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
13,2006-01-13,Friday -  January 13 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,13,Day 13,13,Day 13,13,Day 13,13,Day 13,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
14,2006-01-14,Saturday -  January 14 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,14,Day 14,14,Day 14,14,Day 14,14,Day 14,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
15,2006-01-15,Sunday -  January 15 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,15,Day 15,15,Day 15,15,Day 15,15,Day 15,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
16,2006-01-16,Monday -  January 16 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,16,Day 16,16,Day 16,16,Day 16,16,Day 16,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
17,2006-01-17,Tuesday -  January 17 2006,01-01-2006 00:00,Calendar 2006,01-01-2006 00:00,Semester 1 -  2006,01-01-2006 00:00,Quarter 1 -  2006,01-01-2006 00:00,Jan-06,17,Day 17,17,Day 17,17,Day 17,17,Day 17,1,Month 1,1,Month 1,1,Month 1,1,Quarter 1,1,Quarter 1,1,Semester 1
